                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.269,                 2.9634,                 1.4487,                0.56544,                0.48125,                0.48912,                0.30203,                 1.3735,                 2.1929,                 1.5177,             0.00047515,             0.00047515,             0.00047515
                      2,                 1.3492,                 2.1203,                 1.4885,                0.48504,                0.52833,                0.47892,                 0.2726,                 1.4954,                 2.2288,                 1.6704,             0.00093265,             0.00093265,             0.00093265
                      3,                 1.3709,                 1.8814,                 1.4898,                0.66364,                0.66903,                0.69518,                0.43571,                 1.3044,                 1.4564,                 1.4447,              0.0013713,              0.0013713,              0.0013713
                      4,                 1.3346,                  1.729,                 1.4514,                0.71042,                0.55375,                0.65577,                0.38251,                 1.3869,                 1.5713,                 1.5375,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.2901,                 1.6031,                 1.4222,                 0.6982,                 0.7188,                0.76387,                0.51736,                 1.1778,                 1.3008,                 1.3369,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.2239,                 1.4292,                 1.3751,                0.80676,                0.64062,                0.74572,                0.51965,                 1.1836,                 1.3962,                 1.3484,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.1771,                 1.3362,                 1.3472,                0.83695,                0.82459,                 0.8897,                 0.6226,                 1.0777,                0.93065,                  1.269,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.1748,                 1.2942,                 1.3428,                0.83713,                0.78649,                0.86792,                0.60966,                 1.0798,                0.90558,                 1.2654,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.1387,                 1.2196,                 1.3173,                0.77176,                0.78094,                 0.8161,                0.57086,                 1.1018,                 1.1046,                 1.2553,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.0986,                 1.1553,                 1.2832,                0.88754,                0.80423,                0.88096,                0.63455,                 1.0322,                0.85775,                 1.2156,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.0989,                 1.1243,                 1.2893,                0.88228,                 0.8521,                0.90539,                0.65913,                 1.0421,                0.79739,                  1.215,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.0741,                 1.0804,                 1.2721,                0.87934,                0.89534,                0.92264,                0.68947,                0.97275,                0.74199,                 1.1781,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.0399,                 1.0341,                  1.252,                0.86777,                0.85241,                 0.9032,                0.67722,                0.93563,                0.79102,                 1.1589,              0.0010895,              0.0010895,              0.0010895
                     14,                  1.036,                0.99795,                 1.2508,                0.89902,                0.88447,                0.92029,                0.68362,                0.98041,                0.74866,                 1.1854,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.0097,                0.97672,                 1.2342,                0.90446,                0.90809,                0.92727,                0.71415,                0.92036,                0.66449,                 1.1389,              0.0010329,              0.0010329,              0.0010329
